X,Y
-10.0,2.488608922643268155427419832440941210879176907553088
-9.9,2.136821506610888176819441572343188554761096344349808
-9.8,1.840667096445808536820467489174289315269894214466712
-9.700000000000001,1.585631967200169747633987285041191268109614853551375
-9.600000000000001,1.359455277364329498721651965477217893869326583885375
-9.500000000000002,1.151153962175062471732203074304113873054708274623744
-9.400000000000002,0.950418715792375675293093359197584436625395249985048
-9.300000000000002,0.747198056652689463438114849834072653056814441725440
-9.200000000000003,0.531358239068735589190308709581573711489892004888035
-9.100000000000003,0.292315188084739572054104054983191330314078059220294
-9.000000000000004,0.018547268012406934231597246818998667365426512953016
-8.900000000000004,-0.303169714969156057121993175710117836222128786255616
-8.800000000000004,-0.689018287145526382423178028623760643115241687909888
-8.700000000000005,-1.160341419407102796532810782313384413666815004398656
-8.600000000000005,-1.747648058426329323565864948641269463581296162828299
-8.500000000000005,-2.498394952829985751843989379840579919582426813075923
-8.400000000000006,-3.493348582598653241240002946156590708236084318728000
-8.300000000000006,-4.884960740649491428158756814194037030469556372480000
-8.200000000000006,-7.002198540820478134215011964669769519356591423688000
-8.100000000000007,-10.710987442025028754224524102776757206327314960578903
-8.000000000000007,-19.255185790850415407982715741224442104509110703881494
-7.9000000000000075,-64.099451768856661794702482678340762354692565218792244625
-7.800000000000008,56.466527345202474206329295772559453009425571976062400
-7.700000000000008,20.177058293725837660609049581305286770903900783517568
-7.6000000000000085,12.313604258976705147671308098188872735080155789140531250
-7.500000000000009,8.792898991953521186183566946076406293753020739087149
-7.400000000000009,6.753728278551329082272648711451698217007444359260352
-7.30000000000001,5.402289430643927352654835115882423648006504415731264
-7.20000000000001,4.431033905024975498122945685782656068480151566412288
-7.10000000000001,3.695666160704813887229592276481027808489412145539584
-7.000000000000011,3.119039916490780719098695061327504062633789062500000
-6.900000000000011,2.655485356983440131284839857081306746773454428859375
-6.800000000000011,2.275438918592443310157909011894715693928342248218750
-6.700000000000012,1.958084218208871121399234604779998253325178096834408
-6.600000000000012,1.687537288019744800753080237488244101826453853467518
-6.500000000000012,1.450748093782419790634963808970963178505023286774224
-6.400000000000013,1.236291963883473058757914329335687300845110965388826
-6.300000000000013,1.033637311475503210548511176134481990310319711933283
-6.2000000000000135,0.832669870532072186510661468893284249863001176790751250
-6.100000000000014,0.623328979838628945552206393808185963318822570717504
-6.000000000000014,0.395269158142676557181179272249598893711148895966608
-5.900000000000015,0.137429896167297759696883445416412413818621208098000
-5.800000000000015,-0.162584833116596043807989521193665603002523084961125
-5.700000000000015,-0.519528106619961600566769132604370840439926837522625
-5.600000000000016,-0.952239852558992107134680380667296370082353015681024
-5.500000000000016,-1.486759801614422977620861720135018031161479593419776
-5.400000000000016,-2.162154704097956656919378745427626156795470373621760
-5.300000000000017,-3.042430204259174530824964349216553823013604456694145
-5.200000000000017,-4.243009272866425936899308587902800577036206995297652
-5.100000000000017,-5.998230128504512739725944442455546213378152381251146
-5.000000000000018,-8.869532018501554023726645200186297065804263009293760
-4.900000000000018,-14.619244129036260808841087930391306420333333461554600
-4.8000000000000185,-33.067422791071347724025336459770951662742952598604036000
-4.700000000000019,243.123989738831141429517636154140967607450068545774400
-4.600000000000019,27.469240316280825919763468246200803648542310428408385
-4.5000000000000195,14.705941022715491077202015833740714872483008665704541250
-4.40000000000002,9.996526353645095058257732946356698315739654495480
-4.30000000000002,7.490359140539294811422215320613783652247264834048
-4.200000000000021,5.906037907291366239851519335733842472534893283351831
-4.100000000000021,4.800209665045056077418375239185125841561867940936379
-4.000000000000021,3.978784580882910367484830960346441540809800482100015
-3.9000000000000212,3.343003872199958251183553402287892106684349340066394880
-3.800000000000021,2.836708095503961732306731733832570078742422016679206
-3.700000000000021,2.424844601598160269931154359913974584463996514781774
-3.600000000000021,2.083564944701730790418177424919451935657204042012353
-3.500000000000021,1.795262686566397780639114770917728931139807103825345
-3.400000000000021,1.545894014882131534790337565807556019903446665866738
-3.3000000000000207,1.323466602417896246254876445948820345822683625534578760
-3.2000000000000206,1.117146906914171404954240766846995296975069204521586272
-3.1000000000000205,0.916694736360648839675268833258989655882404419998946750
-3.0000000000000204,0.712068153675281661393228911568870778716088864170962688
-2.9000000000000203,0.493085206341646715582589632498424771693426552379062003
-2.8000000000000203,0.249044306644824098387292336947797218248439152122618933
-2.70000000000002,-0.031800033421239713895814603167362211278988812288
-2.60000000000002,-0.363062130095829079561552652646686958973900684256
-2.50000000000002,-0.761603962398663224272850702504922897371540160000
-2.40000000000002,-1.249960083557332387494060990007258275287438505544
-2.30000000000002,-1.860796335354384349734440181850437767058074071552
-2.2000000000000197,-2.645668433304237630500093999365664203905645005922005536
-2.1000000000000196,-3.693752123714654616915550728901675897467431899781119872
-2.0000000000000195,-5.176721867881018320237636181526992507916266691879610125
-1.9000000000000195,-7.475366069384900363558045859069255834880099725320537125
-1.8000000000000194,-11.637530665081504039580765299653144702199138045374332080
-1.7000000000000193,-21.962042004444643846521651521898035933187101001264335986
-1.6000000000000192,-101.668700331026775352447229374418780853403569454415085568
-1.500000000000019,43.233676061416969697061344955040326621948445249409934
-1.400000000000019,18.226190856329296100700791739558222218828217329111818
-1.300000000000019,11.548562464752524980023130426001141066927780419364064
-1.2000000000000188,8.378726076425532161901450167168817757619346193407485760
-1.1000000000000187,6.490032241505457782790104473272631634584453651368419815
-1.0000000000000187,5.217575011074177317747998901289840731128422471439267648
-0.9000000000000187,4.293551042991920464394394879324518288445943104925245378
-0.8000000000000187,3.589128837228906149226617203573124044328655586985981172
-0.7000000000000187,3.034139765428868100437804847271330509967859822802748777
-0.6000000000000187,2.586390625583774520925772571460819579182278423724680484
-0.5000000000000188,2.218171869908910172741149461145380023352250943575139968
-0.4000000000000188,1.909701572589052525008696173880245755797381100419762688
-0.3000000000000188,1.645687518036837216287067955402012664722312072703928064
-0.2000000000000188,1.413420941616533603213320096298911660961789928686751808
-0.1000000000000188,1.201669376615870150026473662576353269962742209581774312
