X,Y
1.1,10.404667
1.2000000000000002,5.439414
1.3000000000000003,3.780698
1.4000000000000004,2.949850
1.5000000000000004,2.451217
1.6000000000000005,2.119779
1.7000000000000006,1.884881
1.8000000000000007,1.711244
1.9000000000000008,1.579304
2.000000000000001,1.477323
2.100000000000001,1.397825
2.200000000000001,1.335828
2.300000000000001,1.287862
2.4000000000000012,1.251436
2.5000000000000013,1.224708
2.6000000000000014,1.206284
2.7000000000000015,1.195081
2.8000000000000016,1.190241
2.9000000000000017,1.191077
3.0000000000000018,1.197022
3.100000000000002,1.207610
3.200000000000002,1.222446
3.300000000000002,1.241194
3.400000000000002,1.263564
3.500000000000002,1.289307
3.6000000000000023,1.318200
3.7000000000000024,1.350048
3.8000000000000025,1.384678
3.9000000000000026,1.421933
4.000000000000003,1.461670
4.100000000000002,1.503765
4.200000000000002,1.548097
4.300000000000002,1.594559
4.400000000000001,1.643053
4.500000000000001,1.693490
4.6000000000000005,1.745781
4.7,1.799848
4.8,1.855619
4.8999999999999995,1.913023
4.999999999999999,1.971996
5.099999999999999,2.032477
5.199999999999998,2.094412
5.299999999999998,2.157741
5.399999999999998,2.222416
5.499999999999997,2.288390
5.599999999999997,2.355613
5.699999999999997,2.424043
5.799999999999996,2.493642
5.899999999999996,2.564365
5.999999999999996,2.636176
6.099999999999995,2.709040
6.199999999999995,2.782924
6.2999999999999945,2.857792
6.399999999999994,2.933613
6.499999999999994,3.010361
6.599999999999993,3.088002
6.699999999999993,3.166509
6.799999999999993,3.245856
6.899999999999992,3.326022
6.999999999999992,3.406976
7.099999999999992,3.488696
7.199999999999991,3.571163
7.299999999999991,3.654350
7.399999999999991,3.738237
7.49999999999999,3.822806
7.59999999999999,3.908039
7.6999999999999895,3.993911
7.799999999999989,4.080408
7.899999999999989,4.167514
7.9999999999999885,4.255206
8.099999999999989,4.343472
8.199999999999989,4.432294
8.299999999999988,4.521662
8.399999999999988,4.611554
8.499999999999988,4.701957
8.599999999999987,4.792863
8.699999999999987,4.884251
8.799999999999986,4.976111
8.899999999999986,5.068433
8.999999999999986,5.161200
9.099999999999985,5.254401
9.199999999999985,5.348026
9.299999999999985,5.442067
9.399999999999984,5.536507
9.499999999999984,5.631337
9.599999999999984,5.726551
9.699999999999983,5.822134
9.799999999999983,5.918077
9.899999999999983,6.014372
9.999999999999982,6.111013
